site.latitude,site.longitude,iron_transport.latitude,iron_transport.longitude,ewin_grid_feedstock.price,grid_feedstock.price
38.693,-78.827,38.693,-78.827,0.0992,0
40.639,-97.798,40.639,-97.798,0.075,0
40.93,-90.387,40.93,-90.387,0.0996,0
39.939,-93.196,39.939,-93.196,0.0784,0
44.348,-74.993,44.348,-74.993,0.0895,0
44.681,-91.582,44.681,-91.582,0.0864,0
40.648,-96.93,40.648,-96.93,0.075,0
43.405,-78.411,43.405,-78.411,0.0895,0
44.177,-88.702,44.177,-88.702,0.0864,0
44.94,-96.376,44.94,-96.376,0.093,0
38.271,-75.806,38.271,-75.806,0.1247,0
42.858,-89.76,42.858,-89.76,0.0864,0
43.186,-95.762,43.186,-95.762,0.0636,0
44.801,-74.672,44.801,-74.672,0.0895,0
