,site.latitude,site.longitude,iron.LCOE,iron.LCOH,state,rate
318,40.63,-93.6,51.4682303,6.430565617,IA,6.36
319,46.3,-94.637,54.87449895,7.381366827,MN,9.3
320,45.891,-93.227,55.80173944,7.380083862,MN,9.3
321,45.331,-95.91,48.2068868,6.449493262,MN,9.3
322,45.66,-84.253,54.06470461,7.827605336,MI,8.46
323,43.238,-74.916,62.24761325,9.346468714,NY,8.95
324,40.734,-85.311,54.73235651,7.161730608,IN,8.95
325,41.714,-85.292,55.07525106,7.11713852,IN,8.95
326,38.277,-84.162,58.07549708,8.77107947,KY,6.86
327,38.827,-82.643,65.57798244,9.971839715,OH,9.33
328,44.072,-90.861,60.94708597,7.83379302,WI,8.64
329,41.864,-86.008,57.51742888,7.26196297,MI,8.46
330,39.863,-82.138,65.34105223,9.278515235,OH,9.33
331,44.355,-95.604,51.49292498,7.032357099,MN,9.3
332,43.922,-92.401,49.94659706,6.649830555,MN,9.3
333,38.881,-94.228,49.43947066,6.58868584,MO,7.84
334,42.211,-95.766,51.00851576,6.856165909,IA,6.36
335,39.919,-92.338,53.14670509,6.746377424,MO,7.84
336,42.589,-94.122,48.67682821,6.458336743,IA,6.36
337,41.118,-74.137,62.9772836,9.872371545,NY,8.95
338,42.359,-89.512,52.49509336,6.383988351,IL,9.96
339,46.684,-90.148,60.34653131,8.55614353,MI,8.46
340,43.792,-85.536,60.83628514,7.761170573,MI,8.46
341,41.782,-78.122,62.30137579,10.03281728,PA,10.2
342,41.789,-75.26,61.67241257,9.203997056,PA,10.2
343,46.012,-95.276,50.37045546,6.89678815,MN,9.3
344,41.409,-79.123,64.95776393,9.117061684,PA,10.2
345,40.236,-82.929,62.17173456,8.916182515,OH,9.33
346,43.405,-76.097,63.18180437,9.3451845,NY,8.95
347,40.937,-97.37,45.35458674,6.249774929,NE,7.5
348,43.863,-97.284,48.39360588,6.682949777,SD,8.67
349,42.465,-78.833,63.26312393,9.273639324,NY,8.95
350,38.64,-84.945,63.95457223,9.431226985,KY,6.86
351,44.806,-92.658,52.68417683,7.07849464,WI,8.64
352,43.201,-91.085,58.00906861,7.515163462,WI,8.64
353,44.3,-91.917,70.00219894,9.262324853,WI,8.64
354,40.22,-81.77,63.89440456,9.060840296,OH,9.33
355,45.703,-93.708,54.40349939,7.163855677,MN,9.3
356,45.523,-95.126,50.75593186,7.025134663,MN,9.3
357,45.036,-95.288,48.32363293,6.847637808,MN,9.3
358,45.067,-84.214,56.94569167,7.599247448,MI,8.46
359,39.513,-83.649,57.07190327,8.37153933,OH,9.33
360,46.638,-91.752,67.80634074,9.248615135,WI,8.64
361,40.967,-91.404,51.19665665,6.631656275,IA,6.36
362,42.695,-97.11,47.29014174,6.582336603,NE,7.5
363,46.317,-86.678,50.57965136,7.544514147,MI,8.46
364,39.278,-85.55,55.89197093,8.15175868,IN,8.95
365,45.259,-87.002,49.62045856,6.510959335,WI,8.64
366,45.913,-83.725,51.24562465,7.70481277,MI,8.46
367,38.913,-91.406,53.51277698,6.99251437,MO,7.84
368,43.752,-90.126,58.17486708,7.480069934,WI,8.64
369,42.273,-83.698,59.51879534,7.848759416,MI,8.46
370,46.579,-86.154,52.16176311,6.74815459,MI,8.46
371,43.512,-89.086,53.08676303,6.555966767,WI,8.64
372,46.882,-97.672,54.72822143,7.311370944,ND,7.55
373,39.654,-93.636,52.84914185,6.944222999,MO,7.84
374,39.467,-94.212,49.59645265,6.53611718,MO,7.84
375,40.352,-97.358,45.87327388,6.328504641,NE,7.5
376,42.185,-86.404,53.67053907,6.96028005,MI,8.46
377,42.678,-82.712,59.293167,7.863727837,MI,8.46
378,41.021,-86.58,57.99460763,7.460631271,IN,8.95
379,44.356,-74.359,63.027739,8.724613161,NY,8.95
380,39.575,-84.355,63.9630875,9.083828952,OH,9.33
381,38.941,-86.313,57.9367619,8.218327762,IN,8.95
382,38.795,-90.851,56.47505749,7.80326198,MO,7.84
383,41.65,-88.996,54.4868131,6.556921721,IL,9.96
384,42.068,-84.783,54.82294334,7.368488436,MI,8.46
385,39.351,-81.961,64.90445536,9.70671627,OH,9.33
386,38.64,-76.265,55.33259958,8.793166527,MD,12.47
387,40.553,-96.35,47.21201016,6.356493488,NE,7.5
388,43.756,-75.045,58.98597819,8.109630961,NY,8.95
389,46.087,-89.891,57.78876615,7.108559568,WI,8.64
390,40.001,-91.759,53.11153762,6.696516745,MO,7.84
391,40.397,-78.953,55.08437671,8.675339245,PA,10.2
