site.latitude,site.longitude
32.52,-86.398
45.891,-93.227
34.756,-103.356
40.976,-113.181
45.331,-95.91
33.935,-110.53
36.271,-111.851
44.249,-118.997
47.282,-96.068
34.49,-89.181
45.309,-112.548
42.981,-110.242
34.729,-106.549
29.285,-82.961
43.265,-98.328
40.79,-113.869
34.574,-95.659
45.66,-84.253
32.742,-89.862
46.484,-98.298
43.238,-74.916
44.262,-105.287
40.734,-85.311
37.285,-86.551
41.714,-85.292
38.277,-84.162
32.948,-112.033
48.331,-93.107
28.193,-80.69
33.513,-102.575
38.827,-82.643
44.072,-90.861
32.603,-89.1
47.638,-99.321
37.718,-108.554
33.419,-113.726
41.864,-86.008
34.235,-101.983
47.423,-100.119
34.229,-106.607
40.436,-123.877
39.863,-82.138
37.837,-76.931
44.355,-95.604
43.421,-118.523
32.884,-85.96
48.924,-106.068
45.419,-114.171
31.823,-87.768
43.922,-92.401
41.135,-108.939
43.263,-105.59
44.721,-116.482
27.997,-97.625
37.829,-110.396
43.339,-71.144
32.201,-95.926
34.378,-119.509
34.684,-83.836
35.787,-119.58
33.181,-94.368
26.688,-97.48
36.797,-88.128
38.881,-94.228
29.783,-101.507
43.091,-119.33
42.211,-95.766
31.304,-104.536
34.735,-107.618
44.598,-120.568
44.558,-111.244
26.839,-82.037
37.636,-112.878
36.181,-91.86
40.931,-123.948
36.301,-103.93
39.919,-92.338
42.589,-94.122
46.323,-106.736
29.979,-93.195
33.989,-108.156
41.118,-74.137
44.911,-70.31
39.783,-107.516
37.475,-92.471
46.351,-107.702
42.091,-103.922
42.359,-89.512
31.613,-89.192
35.784,-120.134
29.27,-99.13
38.275,-106.691
32.442,-88.085
38.764,-121.54
41.863,-108.495
36.458,-100.679
34.762,-104.821
46.684,-90.148
31.712,-85.097
42.233,-117.78
32.818,-115.683
40.206,-107.157
33.74,-92.656
34.663,-90.756
45.68,-122.499
34.711,-119.896
36.484,-78.697
36.01,-85.369
31.11,-89.112
40.79,-109.455
46.677,-107.285
45.938,-100.804
38.845,-123.183
43.792,-85.536
31.949,-108.589
42.659,-116.247
41.782,-78.122
41.789,-75.26
46.241,-111.206
33.905,-113.848
44.675,-119.483
44.59,-104.718
30.701,-94.548
41.017,-121.41
39.352,-119.427
33.929,-88.051
47.373,-101.735
35.661,-88.931
46.012,-95.276
47.761,-94.276
43.868,-118.222
32.473,-98.495
46.209,-109.433
37.518,-87.073
33.428,-87.976
41.247,-118.937
41.671,-113.972
35.528,-77.573
48.921,-104.397
41.409,-79.123
32.465,-84.596
48.533,-118.579
35.438,-79.096
40.236,-82.929
44.618,-69.798
35.059,-78.512
43.405,-76.097
27.001,-80.193
